1.1 What is your primary role?,1.2 How much experience do you have professionally developing GUIs?,1.3 What platform(s) do you primarily develop GUIs for? (Select all that apply),1.4 How often do you use AI-powered code generation tools in GUI development?,"1.5  How often do you use AI-powered design-to-code tools (e.g., Builder.io, Anima, Locofy.ai, UI2Code.ai)? ","2.1 Available GUI tools (e.g., IDEs, UI frameworks) lack sufficient capabilities for my needs.","2.2 It is hard to find GUI development information (e.g., documentation, community support). ","2.3 Managing dependencies and libraries (e.g., components, icons) is complicated.",2.4 Continuous learning is essential to maintain competency due to rapid evolution of GUI technologies.,"2.5 Designer-developer communication is unclear or ineffective, leading to rework.",2.6 Working with legacy GUI code is frustrating and demotivating.,2.7 The hardware resources are insufficient for GUI development.,2.8 Lack of a clear architectural pattern makes GUI maintenance difficult. ,2.9 Implementing responsive layouts across devices is complicated.,2.10  Achieving high GUI performance requires excessive optimization.,2.11 Implementing components and styles from designs is difficult.,2.12 Implementing data binding and component interactions is difficult.,2.13 Debugging GUI code requires significant effort.,"2.14 Design-to-code tools (Builder.io, Anima, Locofy.ai, UI2Code.ai â€? can correctly recognize the GUI elements and generate corresponding code.","2.15 Design-to-code tools (Builder.io, Anima, Locofy.ai, UI2Code.ai â€? do not integrate well into workflows.",2.16 AI code tools lack contextual understanding of GUI development. ,2.17 AI code tools do not fully support GUI-domain-specific languages and frameworks.,2.18 AI-generated code is hard to debug and maintain.,2.19  There are proper development methods to ensure accessibility.,2.20 Making accessible GUIs is difficult.,2.21 GUI development tools help make GUIs accessible. ,"Please describe any obstacles not covered above, particularly related to tools, workflows, or collaboration. ","3.2 What improvement to a tool, framework, or team process would most improve your GUI development workflow?"
UI,Less than 1 year,iOS,Often,Often,4,1,2,5,3,5,4,2,3,3,1,2,4,4,2,5,4,3,4,1,4,,
Game Dev,Less than 1 year,Windows,Rarely,Never,2,2,1,4,3,4,1,4,3,2,3,3,3,3,3,2,1,4,2,4,3,,
Game Dev,1 - 3 years,iOS;Unity,Rarely,Never,2,1,2,4,3,3,1,3,3,3,1,3,3,3,3,4,4,4,3,2,3,,
Full-stack Dev,1 - 3 years,Web;iOS,Often,Never,2,2,2,5,4,5,2,4,4,3,3,2,4,3,4,1,1,2,2,4,3,,
Front-end Dev,1 - 3 years,Linux;Windows;Android,Rarely,Never,2,2,3,4,4,5,2,4,3,2,2,3,3,3,3,4,3,4,3,3,3,,
Student,Less than 1 year,iOS,Often,Rarely,3,4,2,3,5,4,2,5,3,5,4,3,5,3,3,2,2,5,3,2,4,,
Web Dev,Less than 1 year,Web;Linux;Windows;iOS,Never,Never,3,3,5,4,2,2,3,5,4,4,4,3,4,2,3,3,3,5,3,4,3,,
Game Dev,Less than 1 year,Web;Linux;Windows;Android,Rarely,Never,3,2,2,4,4,5,3,5,4,5,3,2,2,3,3,4,3,5,2,4,4,,
Full-stack Dev,1 - 3 years,Web,Often,Never,3,3,5,5,4,5,1,4,5,2,4,4,2,3,3,2,2,4,3,4,3,,
Web Dev,1 - 3 years,Web;Windows,Often,Rarely,2,2,3,4,2,2,3,3,3,3,4,4,4,4,3,2,4,4,5,2,5,,
Full-stack Dev,Less than 1 year,Windows,Often,Never,4,3,4,3,4,2,3,2,2,3,4,3,4,4,5,4,4,4,5,4,4,,
Web Dev,Less than 1 year,Windows,Rarely,Often,3,3,4,4,3,2,3,4,4,4,4,5,4,3,3,2,2,2,2,2,3,,
Network Engineer,Less than 1 year,Windows,Never,Never,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
Student,Less than 1 year,Web,Rarely,Never,2,1,3,5,2,3,2,2,3,2,1,1,3,3,3,1,1,3,3,3,3,,
Front-end Dev,3 - 5 years,Desktop;Mobile,Often,Often,3,5,3,2,3,3,3,5,3,3,4,3,3,3,3,5,4,5,3,1,3,,
Game Dev,3 - 5 years,Desktop,Often,Rarely,4,1,4,3,5,4,3,5,3,5,2,3,5,4,5,5,5,3,5,4,5,,
Front-end Dev,1 - 3 years,Web;Mobile,Rarely,Rarely,3,4,3,4,3,3,4,4,3,4,2,3,3,3,3,4,3,4,3,4,3,,
Full-stack Dev,Less than 1 year,Desktop,Never,Never,4,5,4,5,4,3,4,4,5,4,5,4,5,4,4,4,2,2,3,4,3,,
Game Dev,Less than 1 year,Desktop,Rarely,Rarely,3,4,4,5,4,4,4,5,4,4,5,5,4,4,4,4,5,3,5,4,4,,
Front-end Dev,Less than 1 year,Desktop,Rarely,Rarely,3,4,3,4,2,3,4,4,3,3,4,4,2,4,3,4,4,4,4,4,4,,
Mobile Dev,Less than 1 year,Mobile,Rarely,Rarely,3,3,3,3,3,2,2,3,4,2,3,2,3,3,2,3,3,4,4,3,3,,
Game Dev,1 - 3 years,Web,Rarely,Rarely,3,3,4,5,3,4,4,3,4,4,4,3,5,4,3,4,4,3,4,3,4,,
Game Dev,3 - 5 years,Desktop;Mobile,Often,Often,1,1,2,5,1,2,1,5,1,2,2,1,2,5,1,1,2,1,5,1,5,,
Mobile Dev,More than 5 years,Web;Mobile,Often,Often,3,3,4,5,4,5,3,4,3,4,3,3,5,4,5,4,5,4,5,3,4,,
Mobile Dev,1 - 3 years,Desktop;Mobile,Rarely,Rarely,4,4,5,4,4,3,4,3,2,3,2,3,3,4,3,3,3,2,4,2,3,,
Game Dev,3 - 5 years,Desktop;Mobile,Often,Often,1,1,2,4,1,2,1,4,2,1,1,2,1,5,1,1,2,1,5,1,5,,
Front-end Dev,1 - 3 years,Web,Rarely,Rarely,4,3,4,5,4,5,3,3,4,5,4,3,4,3,4,4,5,4,3,4,5,,
Front-end Dev,3 - 5 years,Desktop,Often,Often,4,5,5,4,4,5,4,5,4,5,5,4,5,5,4,5,4,5,5,4,5,,
Front-end Dev,3 - 5 years,Web,Often,Often,2,2,3,4,4,4,4,5,4,4,3,3,3,4,3,3,3,3,4,3,3,,
Front-end Dev,Less than 1 year,Web;Desktop,Rarely,Rarely,4,4,4,4,4,3,3,3,3,3,4,4,3,3,4,4,3,3,4,3,3,,
Full-stack Dev,More than 5 years,Web;Desktop;Mobile,Often,Often,2,2,2,4,4,4,3,4,3,4,3,2,4,4,2,3,3,3,4,3,4,,
Front-end Dev,Less than 1 year,Web,Often,Rarely,3,3,3,3,5,4,3,4,4,4,3,3,3,3,2,2,3,2,4,4,4,,
Front-end Dev,3 - 5 years,Web;Desktop,Often,Often,2,2,3,5,2,2,1,4,2,5,1,1,3,4,2,2,1,2,4,2,5,,
Front-end Dev,3 - 5 years,Web;Desktop;Mobile,Rarely,Rarely,4,5,3,4,5,4,3,4,4,5,2,4,4,4,5,4,3,5,4,2,4,,
Front-end Dev,More than 5 years,Web,Often,Rarely,2,2,2,5,5,4,3,4,2,4,1,1,2,3,2,3,4,2,4,3,4,,
Front-end Dev,1 - 3 years,Desktop,Rarely,Rarely,3,4,4,5,3,3,4,5,5,5,5,5,5,3,3,4,4,3,4,4,3,,
Front-end Dev,Less than 1 year,Web;Mobile,Often,Rarely,2,3,4,5,4,3,4,4,3,4,5,4,3,4,5,4,5,4,3,3,4,,
Mobile Dev,3 - 5 years,Mobile,Often,Often,4,5,4,5,4,4,4,5,5,4,5,4,4,5,5,4,5,5,4,5,4,,
Mobile Dev,More than 5 years,Mobile,Often,Often,2,2,2,5,1,2,2,4,4,5,4,4,4,4,2,2,1,2,4,2,4,,
Front-end Dev,More than 5 years,Web,Rarely,Rarely,3,2,3,3,2,2,4,2,3,4,3,3,3,2,4,2,3,4,3,3,3,,
Other,More than 5 years,Desktop;Mobile,Rarely,Rarely,4,4,3,4,3,4,4,4,4,4,3,3,4,4,4,5,5,4,3,3,3,,
Front-end Dev,1 - 3 years,Desktop,Often,Often,2,3,3,4,4,3,4,3,3,4,3,4,3,3,2,3,3,2,3,2,3,,
Mobile Dev,3 - 5 years,Web;Desktop;Mobile,Rarely,Often,3,2,5,4,5,4,2,4,2,5,3,2,5,5,2,3,2,4,4,2,5,,
Full-stack Dev,1 - 3 years,Web;Desktop;Mobile,Often,Often,2,2,3,5,4,5,2,5,3,4,2,4,5,4,2,4,3,3,5,2,4,,
Full-stack Dev,More than 5 years,Web;Mobile,Often,Often,4,5,5,5,5,4,5,5,5,4,3,4,4,4,5,5,5,2,4,5,5,,
Mobile Dev,3 - 5 years,Desktop,Often,Often,4,3,2,4,1,1,1,4,3,4,2,2,2,4,2,2,1,1,2,1,1,,
Full-stack Dev,3 - 5 years,Web;Desktop;Mobile,Rarely,Rarely,3,3,3,4,3,4,4,3,4,4,3,2,3,2,3,4,4,4,4,3,3,,
Game Dev,Less than 1 year,Web;Desktop;Mobile,Rarely,Often,4,3,5,4,4,5,4,3,4,5,4,5,4,4,5,5,4,4,4,4,5,,
